          ntotiter
              1000
             Niter        Best_route     Elite_average
                 0            34.295           46.5341
                 1           35.9126           45.0746
                 2           34.4475           43.6019
                 3           34.1013           42.1061
                 4           32.7098           40.9088
                 5           31.4691           39.6392
                 6           28.8964           38.9104
                 7           27.6918           37.9016
                 8           28.4605           37.1953
                 9           26.3639           36.3307
                10           24.8712           35.6204
                11           24.6704           34.6008
                12           24.3991           34.2289
                13            24.154           33.8103
                14           24.1986           33.3918
                15           25.1054           32.8841
                16           23.6945           32.2502
                17           23.5737           31.1184
                18            23.352           30.3251
                19           23.2508            29.261
                20           22.6374           28.6028
                21           15.7276           27.7084
                22           15.7276           26.5265
                23            15.231           24.9506
                24           13.2517           23.7847
                25           13.2517           22.7421
                26           13.2517           21.4906
                27           14.3189            20.966
                28           12.7789           20.4941
                29           15.3425           19.8817
                30           12.2866           19.2111
                31           12.4912           18.2162
                32           12.6321            18.008
                33           13.0469           17.4536
                34           12.0355           16.5235
                35           11.4863           15.8238
                36           11.0627           15.2851
                37           10.0062           15.0042
                38           10.8178           14.4233
                39           10.0062           13.5657
                40            10.169           12.9308
                41           8.64273           12.4823
                42           9.53729           12.1433
                43           9.14108           11.8022
                44           8.56416           11.2441
                45           8.32258           10.8143
                46           8.28967           10.4141
                47           8.06276           9.96089
                48           8.06276           9.57849
                49           8.06276           9.20856
                50            7.8899            8.8857
                51            7.8899           8.69145
                52           7.60763           8.44707
                53           7.51174           8.29238
                54           7.49636           8.14948
                55           7.41013           8.04847
                56           7.41013           7.94587
                57           7.28857           7.80206
                58           7.28464           7.69201
                59           7.28464           7.58363
                60           7.26707           7.48233
                61           7.28464           7.42922
                62           7.26595           7.35588
                63           7.28464           7.31374
                64           7.19546           7.29113
                65           7.19546           7.28664
                66           7.28464           7.28464
                67           7.28464           7.28464
                68           7.28464           7.28464
                69            7.1303           7.28401
                70            7.1303           7.28273
                71           6.51171           7.25498
                72           6.36208           7.23737
                73           6.44536            7.1888
                74           6.36208           7.11317
                75           6.25712           7.00185
                76           6.13264           6.86821
                77           6.13264           6.69597
                78           5.96899           6.58774
                79           5.96899           6.48689
                80           5.96899           6.37398
                81           5.89568           6.26423
                82           5.89503           6.12793
                83           5.89142           6.01471
                84           5.89142           5.97033
                85           5.89142           5.93739
                86           5.89142           5.91082
                87           5.89142           5.89446
                88           5.89142           5.89396
                89           5.89142           5.89304
                90           5.89142           5.89142
                91           5.89142           5.89142
                92           5.89142           5.89142
                93           5.89142           5.89142
                94           5.89142           5.89142
                95           5.89142           5.89142
                96           5.89142           5.89142
                97           5.89142           5.89142
                98           5.89142           5.89142
                99           5.89142           5.89142
               100           5.89142           5.89142
               101           5.89142           5.89142
               102           5.89142           5.89142
               103           5.89142           5.89142
               104           5.89142           5.89142
               105           5.89142           5.89142
               106           5.89142           5.89142
               107           5.89142           5.89142
