          ntotiter
              1000
             Niter        Best_route     Elite_average
                 0           35.9757           50.3067
                 1           35.7231           47.5464
                 2           33.1287           44.6929
                 3           33.3831           42.5824
                 4           28.3849           40.0578
                 5            28.042           38.2666
                 6           27.0839           37.0859
                 7           27.0839           35.8076
                 8           20.6012           34.9158
                 9           20.7859           33.4388
                10           22.7937           32.3742
                11           23.5382           31.0298
                12           22.1543           30.4612
                13           22.1543           29.9384
                14           20.5629           28.8524
                15           21.0758           28.2572
                16           17.6766           27.8338
                17           18.3213           27.7435
                18           15.8366           26.9089
                19           16.3991           25.5961
                20           16.2522           24.3649
                21           16.4455           24.0179
                22           14.6838           23.5529
                23           15.9178           23.0774
                24           15.9178           22.4539
                25           14.0368             21.66
                26           13.9571           21.2656
                27           13.6072           20.6137
                28           13.5639           20.2063
                29           14.2161           20.1297
                30           14.2913            19.684
                31           12.2866           19.1535
                32           13.2906            18.638
                33           12.5098            18.288
                34           12.8243            17.801
                35           12.6659           17.3715
                36           12.1097           17.3022
                37           11.9254           17.2956
                38           12.3143           17.0282
                39           11.1536           16.6041
                40            12.758           16.4709
                41           8.62026           15.6428
                42           8.79433           15.0873
                43           8.65388            14.463
                44           8.69377           13.5605
                45           8.69377           12.8751
                46           7.94241           11.9774
                47           8.06033           11.2198
                48           8.00633           10.5848
                49           7.68909           10.0054
                50           7.64835            9.4039
                51           7.68909           8.97385
                52           7.44198           8.67621
                53           7.40612            8.4602
                54           7.27429           8.21386
                55           7.00539           8.02255
                56           7.00539           7.74299
                57           6.92782           7.52439
                58           6.91089           7.36037
                59           6.71152           7.23648
                60           6.67771            7.1194
                61           6.59592           7.06225
                62           6.38887            6.9547
                63           6.28658           6.85618
                64           6.25704           6.72002
                65           5.99092           6.59839
                66           5.99092           6.48315
                67           5.99092           6.37104
                68           5.99092           6.25597
                69           5.99092           6.17436
                70           5.89503            6.0972
                71           5.89503            6.0514
                72           5.89503            6.0069
                73           5.89503           5.98708
                74           5.89503           5.98379
                75           5.89503           5.97459
                76           5.89503           5.95502
                77           5.89503           5.92149
                78           5.89503           5.89503
                79           5.89503           5.89503
                80           5.89503           5.89503
                81           5.89503           5.89503
                82           5.89503           5.89503
                83           5.89503           5.89503
                84           5.89503           5.89503
                85           5.89503           5.89503
                86           5.89503           5.89503
                87           5.89503           5.89503
                88           5.89503           5.89503
                89           5.89503           5.89503
                90           5.89503           5.89503
                91           5.82311           5.89446
                92           5.82311           5.89308
                93           5.82311           5.89002
                94           5.82311           5.88362
                95           5.82311           5.87329
                96           5.82311           5.85948
                97           5.82311           5.83773
                98           5.82311           5.82322
                99           5.82311           5.82311
               100           5.82311           5.82311
               101           5.82311           5.82311
               102           5.80325           5.82303
               103           5.80325           5.82287
               104           5.80325           5.82271
               105           5.80325           5.82247
               106           5.80325           5.82223
               107           5.80325           5.82191
               108           5.80325           5.82239
               109           5.80325           5.82215
               110           5.80325           5.82176
               111           5.80325           5.82223
               112           5.80325           5.82216
               113           5.80325           5.82178
               114           5.80325           5.82136
               115           5.80325           5.82026
               116           5.78444            5.8181
               117           5.78444            5.8149
               118           5.78444           5.81234
               119           5.78444           5.80906
               120           5.77005           5.80453
               121           5.77005           5.80039
