          ntotiter
              1000
             Niter        Best_route     Elite_average
                 0            38.534           50.6183
                 1           32.2659           47.2131
                 2           32.5938           44.8273
                 3           31.6418            43.135
                 4           30.1139           41.3862
                 5           30.1139           40.0653
                 6           29.2025           38.5793
                 7           26.7565           36.8102
                 8           27.3405           35.4589
                 9           24.9095           34.2259
                10           24.4935           33.1118
                11           17.7075           31.9266
                12           17.7075           30.7863
                13           17.8549           29.4338
                14           17.8549           28.3761
                15           17.6811           27.4369
                16           18.5562           26.6087
                17           18.4166           25.5075
                18           18.5198           24.6658
                19           18.2888           23.8094
                20           15.6055           23.0902
                21           16.5032           22.6262
                22           15.6227             22.24
                23            16.326           21.8044
                24             13.96           21.3347
                25             13.96            20.676
                26           15.8538           20.1876
                27           15.8538           20.1973
                28           14.7584           19.8765
                29           14.7584           19.6606
                30           13.5717           19.1516
                31           14.2606           18.7511
                32           13.9151           18.7064
                33           13.4294           18.5305
                34           12.9769           18.1556
                35           12.2087           17.7897
                36           13.0041           17.6646
                37           11.9802           17.2678
                38           11.9562           16.8656
                39           10.9077           16.7474
                40           12.6005           16.6185
                41           11.2695           16.1627
                42           11.7229           16.4302
                43           11.9714           16.4258
                44           11.9714           16.2006
                45           12.5417           16.1836
                46           11.9495           16.1121
                47           11.7632           15.9941
                48           11.7632           15.6206
                49           11.7611           15.3147
                50           11.4616           15.0018
                51           9.09465           14.5957
                52            9.2735           14.7208
                53            9.2735           14.6395
                54            10.251           14.7839
                55           7.55559           14.5918
                56           7.55345           14.4018
                57            9.3545           14.1625
                58           7.65646           14.1795
                59           6.90525           13.3942
                60           7.32893           13.0259
                61           7.12396           12.3146
                62           7.12396           11.8057
                63           7.22668           10.6172
                64           6.66037           9.88264
                65            6.8665           9.17087
                66            6.7301            8.6153
                67            6.7301           8.27467
                68           6.74884           8.08201
                69           6.79533           7.85627
                70           6.82631           7.69007
                71           5.99092           7.43375
                72           5.99092           7.24461
                73           5.99092           7.08436
                74           5.99092           6.84948
                75           5.99092           6.66399
                76           5.99092           6.43078
                77           5.99092           6.26804
                78           5.99092            6.1512
                79           5.99092           6.08459
                80           5.89568           6.04254
                81           5.89503           5.99736
                82           5.89503           5.97587
                83           5.89503           5.96109
                84           5.89503           5.93675
                85           5.89503           5.90502
                86           5.89503           5.89503
                87           5.89503           5.89503
                88           5.89503           5.89503
                89           5.88064           5.89497
                90           5.88064           5.89497
                91           5.89503           5.89503
                92           5.89503           5.89503
                93           5.89503           5.89503
                94           5.89503           5.89503
                95           5.89503           5.89503
                96           5.89503           5.89503
                97           5.89503           5.89503
                98           5.89503           5.89503
                99           5.89503           5.89503
               100           5.89503           5.89503
               101           5.89503           5.89503
               102           5.89503           5.89503
               103           5.89503           5.89503
               104           5.89503           5.89503
               105           5.89503           5.89503
               106           5.89503           5.89503
               107           5.89503           5.89503
               108           5.89503           5.89503
               109           5.89503           5.89503
               110           5.89503           5.89503
               111           5.82311           5.88927
               112           5.82311           5.88208
               113           5.82311           5.86747
               114           5.82311           5.84242
               115           5.82311           5.82504
               116           5.82311           5.82384
               117           5.82311           5.82311
               118           5.82311           5.82311
               119           5.82311           5.82311
               120           5.82311           5.82311
               121           5.78886           5.82155
               122           5.80325           5.82155
               123           5.78886           5.82065
               124           5.78886           5.81908
               125           5.78886           5.81837
               126           5.78886           5.81664
               127           5.78886           5.81414
               128           5.78886           5.81114
               129           5.59077           5.80574
               130           5.78886           5.80221
               131           5.77005           5.79724
               132           5.77005           5.79246
               133           5.77005           5.78417
               134           5.77005           5.77938
               135           5.77005            5.7726
               136           5.77005           5.77005
               137           5.77005           5.77005
               138           5.77005           5.77005
               139           5.77005           5.77005
               140           5.77005           5.77005
               141           5.41771           5.74186
               142           5.41771            5.7024
               143           5.41771           5.65307
               144           5.41771           5.56146
               145           5.41771           5.46563
               146           5.41771           5.41771
               147           5.41771           5.41771
               148           5.41771           5.41771
               149           5.41771           5.41771
               150           5.41771           5.41771
               151           5.41771           5.41771
               152           5.41771           5.41771
               153           5.41771           5.41771
               154           5.41771           5.41771
               155           5.41771           5.41771
               156           5.41771           5.41771
               157           5.41771           5.41771
               158           5.41771           5.41771
               159           5.41771           5.41771
               160           5.41771           5.41771
               161           5.36746           5.41615
               162           5.36746           5.41551
               163           5.36746           5.41303
               164           5.36746           5.41002
               165           5.36746           5.40659
               166           5.36746           5.40222
               167           5.36746           5.40193
               168           5.27205           5.40083
               169           5.27205           5.39914
               170           5.27205           5.39736
               171           4.82968           5.35553
               172           4.82968           5.34626
               173           4.82968           5.33297
               174           4.82968           5.29704
               175           4.82968           5.24986
               176           4.82968           5.20993
               177           4.82968           5.17212
               178           4.82968           5.08337
               179           4.82968            4.9938
               180           4.82968           4.89495
               181           4.82968           4.84253
               182           4.82968           4.83554
               183           4.82968           4.82968
               184           4.82968           4.82968
               185           4.82968           4.82968
               186           4.82968           4.82968
               187           4.82968           4.82968
               188           4.82968           4.82968
               189           4.82968           4.82968
               190           4.82968           4.82968
               191           4.82968           4.82968
               192           4.82968           4.82968
               193           4.82968           4.82968
               194           4.82968           4.82968
               195           4.82968           4.82968
               196           4.82968           4.82968
               197           4.82968           4.82968
               198           4.82968           4.82968
               199           4.82968           4.82968
               200           4.82968           4.82968
               201           4.82968           4.82968
               202           4.82968           4.82968
               203           4.82968           4.82968
               204           4.82968           4.82968
               205           4.82968           4.82968
               206           4.82968           4.82968
               207           4.81563           4.82962
               208           4.81563           4.82956
               209           4.81563            4.8294
               210           4.51316           4.82779
               211           4.81563           4.82906
