          ntotiter
              1000
             Niter        Best_route     Elite_average
                 0            38.534           50.6183
                 1           35.7469           47.1503
                 2           35.8507           44.8974
                 3           31.5141           42.9185
                 4           30.8069           40.9297
                 5           29.8557            39.174
                 6            25.151           37.7086
                 7           26.9338           35.9022
                 8           25.2588           34.5632
                 9           24.1931           33.3839
                10           20.2991           32.6897
                11           21.7426           31.6592
                12           21.7426            30.652
                13           21.3061           29.3479
                14           21.1602           28.6637
                15           18.2599           27.5422
                16            17.783           26.5997
                17           17.3815           25.8929
                18           18.2238           24.9454
                19            16.624           24.0568
                20           13.4731           23.2735
                21           15.7773            22.673
                22           14.5597           22.3657
                23           15.8244           22.2868
                24           16.0225           21.8802
                25           15.8223           21.4641
                26           13.7083            20.712
                27           13.6799           20.3128
                28           13.1169           19.9309
                29           13.1169           19.4785
                30           13.6172           18.9222
                31           13.0065            18.382
                32           12.5905             18.09
                33           11.9131           17.9449
                34           11.9131           17.6377
                35           12.3414           17.3763
                36           12.0114           17.4781
                37           11.2631           17.4406
                38           12.0114           16.9185
                39            10.725           16.5275
                40            10.725           15.9816
                41            8.9611           15.2976
                42           9.44764            15.009
                43           9.44764           14.5614
                44           9.44764           13.8494
                45           9.44764           13.3195
                46           9.44764           12.7136
                47           9.44764           12.2448
                48           9.39819           11.6103
                49           9.33578           11.0337
                50            9.2447           10.5077
                51            8.7822           10.1242
                52           8.89066           9.85006
                53           9.09247           9.60055
                54           9.07319           9.42151
                55           9.07319           9.30803
                56           8.98061           9.23824
                57           8.86747           9.17418
                58           8.85158           9.12607
                59             8.759           9.06791
                60           8.70955           9.03881
                61           5.62345           8.74248
                62           5.62821           8.63673
                63           5.62821           8.53557
                64           5.62821           8.38766
                65           5.62689           8.27044
                66           5.50373           8.07608
                67           5.58384           7.97654
                68           5.58384           7.80609
                69           5.58384           7.52694
                70           5.50241           7.31315
                71           5.50373           7.19486
                72           5.50373           7.01992
                73           5.50373           6.97533
                74           5.34769           6.81526
                75           5.29538           6.61614
                76           5.29538           6.29705
                77           5.31085           5.98914
                78           5.31085           5.74838
                79           5.20185           5.62317
                80           5.19973           5.53123
                81           5.11611           5.46434
                82           5.11611           5.40879
                83           5.11611           5.36048
                84           5.11611           5.32332
                85           5.11611           5.29453
                86           4.97209           5.27872
                87           4.97209           5.26245
                88           4.96296           5.23385
                89           4.97209           5.19865
                90           4.97209           5.15794
                91           4.97209           5.12236
                92           4.94267           5.09081
                93           4.94267           5.05142
                94           4.94267           4.98231
                95           4.74385           4.96565
                96           4.94267           4.96303
                97           4.94267           4.95632
                98           4.94267           4.94597
                99           4.94267           4.94267
               100           4.74352           4.94188
               101           4.54846            4.9178
               102           4.54846           4.88379
               103           4.54846           4.83541
               104           4.54846           4.75791
               105           4.54846           4.66385
               106           4.54846           4.64003
               107           4.51913           4.60854
               108           4.54846            4.5613
               109           4.41796           4.54815
               110           4.54846           4.54846
               111           4.54846           4.54846
               112           4.39241           4.54783
               113           4.39241           4.54659
               114           4.39241           4.54471
               115            4.3918           4.53847
               116           4.36784           4.52526
               117           4.39241           4.50289
               118           4.39241           4.44297
               119           4.39241           4.39241
               120           4.39241           4.39241
               121           4.39241           4.39241
               122           4.39241           4.39241
               123           4.39241           4.39241
               124           4.39241           4.39241
               125           4.39241           4.39241
               126           4.39241           4.39241
               127           4.39241           4.39241
               128           4.19326           4.39161
               129           4.39241           4.39241
               130           4.39241           4.39241
               131           4.39241           4.39241
               132           4.39241           4.39241
               133           4.39241           4.39241
               134           4.39241           4.39241
               135           4.39241           4.39241
               136           4.39241           4.39241
               137           4.39241           4.39241
               138           4.34704           4.39223
               139           4.34704            4.3915
               140           4.34704           4.38987
               141           4.23892           4.38459
               142           4.23892           4.37323
               143           4.19356           4.35172
               144           4.19356           4.31689
               145           4.19356           4.28465
               146           4.19356           4.22831
               147           4.19356           4.20317
               148           4.19356           4.19356
               149           4.19356           4.19356
               150           4.19356           4.19356
               151           4.19356           4.19356
               152           4.19356           4.19356
               153           4.19356           4.19356
               154           4.19356           4.19356
               155           4.19356           4.19356
               156           4.19356           4.19356
               157           4.19356           4.19356
               158           4.19356           4.19356
               159           4.19356           4.19356
               160           4.19356           4.19356
               161           4.19356           4.19356
               162           4.19356           4.19356
               163           4.19356           4.19356
               164           4.19356           4.19356
               165           4.19356           4.19356
               166           4.19356           4.19356
               167           4.19356           4.19356
               168           4.19356           4.19356
               169           4.19356           4.19356
               170           4.19356           4.19356
               171           4.19356           4.19356
               172           4.19356           4.19356
               173           4.19356           4.19356
               174           4.19356           4.19356
               175           4.19356           4.19356
               176           4.19356           4.19356
               177           4.19356           4.19356
               178           4.19356           4.19356
               179           4.19356           4.19356
               180           4.19356           4.19356
               181           4.19356           4.19356
               182           4.19356           4.19356
               183           4.19356           4.19356
               184           4.19356           4.19356
               185           4.19356           4.19356
               186           4.19356           4.19356
               187           4.19356           4.19356
               188           4.19356           4.19356
               189           4.19356           4.19356
               190           4.19356           4.19356
               191           4.19356           4.19356
               192           4.19356           4.19356
               193           4.19356           4.19356
               194           4.19356           4.19356
               195           4.19356           4.19356
               196           4.19356           4.19356
               197           4.19356           4.19356
               198           4.19356           4.19356
               199           4.19356           4.19356
               200           4.19356           4.19356
               201           4.19356           4.19356
               202           4.19356           4.19356
               203           4.19356           4.19356
               204           4.19356           4.19356
               205           4.19356           4.19356
               206           4.19356           4.19356
               207           4.19356           4.19356
               208           4.19356           4.19356
               209           4.19356           4.19356
               210           4.19356           4.19356
               211           4.19356           4.19356
               212           4.19356           4.19356
               213           4.19356           4.19356
               214           4.19356           4.19356
               215           4.19356           4.19356
               216           4.19356           4.19356
               217           4.19356           4.19356
               218           4.19356           4.19356
               219           4.19356           4.19356
               220           4.19356           4.19356
               221           4.19356           4.19356
               222           4.19356           4.19356
               223           4.19356           4.19356
               224           4.19356           4.19356
               225           4.19356           4.19356
               226           4.19356           4.19356
