          ntotiter
              1000
             Niter        Best_route     Elite_average
                 0           34.8373           49.8115
                 1           34.8373           47.0318
                 2            31.395           45.0212
                 3           33.3998           43.4244
                 4           32.5925           41.7511
                 5           31.3217           40.0112
                 6           27.9619           38.4071
                 7            27.814           37.0578
                 8           27.5226           35.0392
                 9           20.0472           33.4252
                10           22.9614            31.852
                11           21.8695           30.2135
                12            21.021           29.1009
                13           20.3674           28.1214
                14           17.8963           26.9773
                15           18.1929           26.3764
                16           14.6858           25.5404
                17           16.3159           24.1114
                18           15.9968           22.6949
                19           16.1071            21.797
                20           14.1239           21.3184
                21           13.9482           21.2267
                22           13.9482           20.9795
                23           12.6465           20.7995
                24           12.5427           20.1318
                25           12.5427           19.3018
                26           12.8272           19.0281
                27           12.8392           18.6215
                28           12.0962           17.6673
                29            11.439           16.8648
                30           10.9102            15.718
                31           11.1075           14.8659
                32           10.6129           14.2195
                33           10.6666           13.7172
                34           9.56371           13.1147
                35            10.263           12.5587
                36           9.22622           12.2764
                37           8.72724           11.8596
                38           7.82791            11.474
                39           7.82791            11.179
                40           7.96608           10.6784
                41           7.93006            10.563
                42           7.93006           10.1685
                43           7.92492           9.70646
                44           7.18316           9.42253
                45           7.18316           9.06707
                46           7.03632           8.63292
                47           6.90921            8.3236
                48           6.50077           8.05792
                49           6.42267           7.83679
                50           6.21508           7.47789
                51           6.33563           7.26859
                52            6.2636           6.98974
                53           6.13019           6.77136
                54           6.04113            6.6071
                55           5.85889            6.4767
                56           5.73289           6.35793
                57           5.75131           6.25051
                58           5.75131           6.13593
                59           5.74728           6.04441
                60           5.74728           5.95642
                61           5.59526           5.88219
                62           5.59526           5.82697
                63           5.57684           5.78127
                64           5.57684           5.73951
                65           5.32413           5.71303
                66           5.28526           5.67073
                67           5.57684            5.6193
                68           5.57684           5.58551
                69           5.57684           5.57909
                70           5.57684           5.57684
                71           5.26595             5.554
                72           5.11611           5.52453
                73           5.11611           5.48903
                74           5.11611           5.41396
                75           5.11611           5.31957
                76           5.11611           5.29245
                77           5.11611           5.28995
                78           5.11611           5.28874
                79           5.11611           5.28869
                80           5.06713           5.28813
                81           5.11611            5.2858
                82           5.11611           5.27815
                83           5.11611           5.27134
                84           5.13153           5.25951
                85           4.97209           5.24202
                86           4.94267           5.21306
                87           4.94267           5.17628
                88           4.94267           5.13059
                89           4.94267           5.07398
                90            4.9372           4.99273
                91           4.94267           4.96056
                92           4.94267           4.95338
                93           4.94267           4.94267
                94           4.63268           4.94143
                95           4.71442           4.94176
                96           4.94267           4.94267
                97           4.61619           4.94137
                98           4.94267           4.94267
                99           4.92149           4.94259
               100           4.94267           4.94267
               101           4.94267           4.94267
               102           4.94267           4.94267
               103           4.94267           4.94267
               104           4.94267           4.94267
               105           4.63268           4.94143
               106           4.94267           4.94267
               107           4.94267           4.94267
               108           4.94267           4.94267
               109           4.94267           4.94267
               110           4.94267           4.94267
               111            4.3493           4.91034
               112           4.54846           4.88292
               113           4.54846           4.84114
               114           4.54846           4.75631
               115           4.54846           4.66755
               116           4.54846           4.60336
               117           4.54846           4.55196
               118           4.54846           4.54846
               119           4.54846           4.54846
               120           4.54846           4.54846
               121           4.39497           4.53618
               122           4.39497           4.52022
               123           4.39497           4.48706
               124           4.39497           4.42997
               125           4.39497           4.39497
               126           4.39497           4.39497
               127           4.39497           4.39497
               128           4.39497           4.39497
               129           4.39497           4.39497
               130           4.39497           4.39497
               131           4.39497           4.39497
               132           4.39497           4.39497
               133           4.39497           4.39497
               134           4.39497           4.39497
               135           4.23832           4.39435
               136           4.23832           4.39435
               137           4.23832           4.39435
               138           4.19582           4.39418
               139           4.23892           4.39435
               140           4.23892           4.39185
               141           4.23575           4.38977
               142           4.23832           4.37728
               143           4.21435           4.34845
               144           4.23892           4.29722
               145           4.23892           4.23892
               146           4.23892           4.23892
               147           4.23892           4.23892
               148           4.19356           4.23874
               149           4.23892           4.23892
               150           4.23892           4.23892
               151           4.19356           4.23529
               152           4.19356           4.23112
               153           4.19356           4.22459
               154           4.19356           4.21225
               155           4.19356           4.19356
               156           4.03977           4.19294
               157           4.19356           4.19356
               158           4.19356           4.19356
               159           4.19356           4.19356
               160           4.19356           4.19356
               161           4.19356           4.19356
               162           4.19356           4.19356
               163           4.19356           4.19356
               164           4.19356           4.19356
               165           4.19356           4.19356
               166           4.19356           4.19356
               167           4.19356           4.19356
               168           4.19356           4.19356
               169           4.19356           4.19356
               170           4.19356           4.19356
               171           4.19356           4.19356
               172           4.19356           4.19356
               173           4.19356           4.19356
               174           4.19356           4.19356
               175           4.19356           4.19356
               176           4.19356           4.19356
               177           4.19356           4.19356
               178           4.19356           4.19356
               179           4.19356           4.19356
               180           4.19356           4.19356
               181           4.19356           4.19356
               182           4.19356           4.19356
               183           4.19356           4.19356
               184           4.19356           4.19356
               185           4.19356           4.19356
               186           4.19356           4.19356
               187           4.19356           4.19356
               188           4.19356           4.19356
               189           4.19356           4.19356
               190           4.19356           4.19356
               191           4.19356           4.19356
               192           4.19356           4.19356
               193           4.19356           4.19356
               194           4.19356           4.19356
               195           4.19356           4.19356
