          ntotiter
              1000
             Niter        Best_route     Elite_average
                 0           35.9757           50.3067
                 1           32.2659           47.6092
                 2           34.4642           44.7558
                 3            29.925             42.15
                 4           30.8597           40.0812
                 5           28.4775           38.3945
                 6           27.7122           36.8047
                 7           26.9501           35.0241
                 8           22.1169            33.619
                 9           22.0886           32.3691
                10           22.7745           31.5476
                11            17.352           30.4915
                12            17.352            29.762
                13            17.352           29.6825
                14           18.6001           28.8972
                15           17.3699            28.276
                16           17.4528           27.6686
                17            19.181           27.3481
                18           18.4275           26.7668
                19           17.5351           25.8039
                20           17.7689           24.7631
                21           13.5671           23.7706
                22           13.3748           22.8698
                23           15.2111           22.3819
                24           14.2025           21.4704
                25           14.4186           20.6484
                26           13.5089           20.2275
                27           14.0344           19.7282
                28           12.0299           19.6471
                29           12.4637           19.4833
                30           12.4637           19.0182
                31           12.5789           18.3471
                32           12.5869           17.8907
                33           12.5741           17.5958
                34           13.1692           17.3813
                35           11.5309           17.1029
                36           11.5059           16.8733
                37           11.0103           16.4481
                38           11.1415            16.082
                39           11.2076           15.7353
                40           11.3729           15.3741
                41           7.92864           14.4953
                42           7.54136           13.8955
                43           7.78957           13.1516
                44            7.9761           12.3439
                45            7.9761           11.9339
                46           8.09322           11.4285
                47           8.07015           10.7963
                48           7.99167           10.2091
                49            7.8734           9.70121
                50           7.12854           9.17766
                51           6.25315           8.67255
                52           6.25315           8.30503
                53           6.20863           8.00151
                54           6.12222           7.50917
                55           6.14139             7.105
                56           5.98725           6.74399
                57            5.9672           6.48113
                58           5.74945            6.3198
                59            5.6964           6.20364
                60           5.63924           6.07768
                61           5.62345           5.99512
                62           5.57743           5.90717
                63           5.51809           5.83568
                64           5.45142           5.74685
                65           5.45142           5.65708
                66           5.42138           5.56949
                67           5.29538           5.50799
                68           5.26595           5.46437
                69           5.26595           5.44278
                70           5.26595           5.43422
                71           5.26595           5.42733
                72           5.11611           5.38977
                73           5.26595           5.33635
                74           5.26595            5.2942
                75           5.26595           5.29373
                76           5.26595           5.29173
                77           5.26595           5.28843
                78           5.26595           5.28425
                79           5.26595            5.2769
                80           5.26595           5.26595
                81           5.26595           5.26595
                82           5.16476           5.26555
                83           5.03771           5.26504
                84           5.26595           5.26595
                85           5.26595           5.26595
                86           4.80279            5.2641
                87           4.93654           5.26357
                88           4.99906           5.26235
                89           4.99906           5.25975
                90           4.99906           5.24784
                91           4.81535           5.21435
                92           4.54846           5.15568
                93           4.54846            5.0547
                94           4.54846           4.89714
                95           4.54846           4.81368
                96           4.54846           4.72298
                97           4.54846            4.6401
                98           4.54846           4.60555
                99           4.54846           4.55515
               100           4.54846           4.54846
               101           4.54846           4.54846
               102           4.54846           4.54846
               103           4.54846           4.54846
               104           4.54846           4.54846
               105           4.54846           4.54846
               106           4.54846           4.54846
               107           4.54846           4.54846
               108           4.54846           4.54846
               109           4.54846           4.54846
               110           4.54846           4.54846
               111           4.54846           4.54846
               112           4.54846           4.54846
               113           4.54846           4.54846
               114           4.54846           4.54846
               115           4.54846           4.54846
               116           4.54846           4.54846
               117           4.54846           4.54846
               118           4.54846           4.54846
               119           4.54846           4.54846
               120           4.54846           4.54846
               121           4.34704           4.53579
               122           4.39241           4.52162
               123           4.39241            4.4979
               124           4.39241           4.43548
               125           4.39241           4.39241
               126           4.39241           4.39241
               127           4.39241           4.39241
               128           4.39241           4.39241
               129           4.39241           4.39241
               130           4.39241           4.39241
               131           4.39241           4.39241
               132           4.39241           4.39241
               133           4.39241           4.39241
               134           4.39241           4.39241
               135           4.39241           4.39241
               136           4.39241           4.39241
               137           4.39241           4.39241
               138           4.39241           4.39241
               139           4.39241           4.39241
               140           4.39241           4.39241
               141           4.39241           4.39241
               142           4.23892           4.38934
               143           4.23892            4.3875
               144           4.23892            4.3875
               145           4.23892           4.38259
               146           4.23892           4.36478
               147           4.23892           4.33654
               148           4.23892           4.27453
               149           4.23892           4.23892
               150           4.23892           4.23892
               151           4.23892           4.23892
               152           4.23892           4.23892
               153           4.23892           4.23892
               154           4.23892           4.23892
               155           4.19356           4.23874
               156           4.19356           4.23838
               157           4.19356           4.23729
               158           4.19356           4.23566
               159           4.19356           4.23221
               160           4.19356           4.22477
               161           4.19356           4.21043
               162           4.19356           4.19356
               163           4.19356           4.19356
               164           4.19356           4.19356
               165           4.19356           4.19356
               166            3.9944           4.19276
               167           4.19356           4.19356
               168           4.19356           4.19356
               169           4.19356           4.19356
               170           4.19356           4.19356
               171           4.19356           4.19356
               172           4.19356           4.19356
               173           4.19356           4.19356
               174           4.19356           4.19356
               175           4.19356           4.19356
               176           4.19356           4.19356
               177           4.19356           4.19356
               178           4.19356           4.19356
               179           4.19356           4.19356
               180           4.18245           4.19351
               181           4.19356           4.19356
               182           4.19356           4.19356
               183           4.19356           4.19356
               184           4.19356           4.19356
               185           4.19356           4.19356
               186            3.9944           4.19276
               187           4.19356           4.19356
               188           4.19356           4.19356
               189           4.19356           4.19356
               190           4.19356           4.19356
               191           4.19356           4.19356
               192           4.19356           4.19356
               193           4.19356           4.19356
               194           4.19356           4.19356
               195           4.19356           4.19356
               196           4.19356           4.19356
               197           4.19356           4.19356
               198           4.19356           4.19356
               199           4.19356           4.19356
               200           4.19356           4.19356
               201           4.19356           4.19356
               202           4.19356           4.19356
               203           4.19356           4.19356
               204           4.19356           4.19356
               205           4.19356           4.19356
               206           4.19356           4.19356
               207           4.19356           4.19356
               208           4.19356           4.19356
               209           4.19356           4.19356
               210           4.19356           4.19356
               211           4.19356           4.19356
               212           4.19356           4.19356
               213           4.19356           4.19356
               214           4.19356           4.19356
               215           4.19356           4.19356
               216           4.19356           4.19356
               217           4.18245           4.19351
               218            3.9944           4.19276
               219           4.01293           4.19283
               220           4.19356           4.19356
               221           4.19356           4.19356
               222           4.19356           4.19356
               223           4.19356           4.19356
               224           4.19356           4.19356
               225           4.19356           4.19356
               226           4.19356           4.19356
               227           4.19356           4.19356
               228           4.19356           4.19356
               229           4.19356           4.19356
               230           4.19356           4.19356
               231           4.19356           4.19356
               232           4.19356           4.19356
               233           4.19356           4.19356
               234           4.19356           4.19356
               235           4.19356           4.19356
               236           4.18245           4.19351
               237           4.19356           4.19356
               238           4.19356           4.19356
               239           4.19356           4.19356
               240           4.19356           4.19356
               241           4.19356           4.19356
               242           4.19356           4.19356
               243           4.19356           4.19356
               244           4.19356           4.19356
               245           4.19356           4.19356
               246           4.19356           4.19356
               247           4.19356           4.19356
