          ntotiter
              1000
             Niter        Best_route     Elite_average
               245             5.481           5.54634
               246             5.481             5.481
               247             5.481             5.481
               248             5.481             5.481
               249             5.481             5.481
               250             5.481             5.481
               251             5.481             5.481
               252             5.481             5.481
               253             5.481             5.481
               254             5.481             5.481
               255             5.481             5.481
               256             5.481             5.481
               257             5.481             5.481
               258             5.481             5.481
               259             5.481             5.481
               260           4.95722           5.47891
               261           4.95722           4.95722
               262           4.95722           4.95722
               263           4.93841           4.95715
               264           4.93841           4.93841
               265           4.93841           4.93841
               266            4.6219           4.93664
               267            4.6219            4.6219
               268            4.6219            4.6219
               269            4.6219            4.6219
               270            4.6219            4.6219
               271            4.6219            4.6219
               272            4.6219            4.6219
               273            4.6219            4.6219
               274            4.6219            4.6219
               275            4.6219            4.6219
               276            4.6219            4.6219
               277            4.6219            4.6219
               278            4.6219            4.6219
               279            4.6219            4.6219
               280            4.6219            4.6219
               281            4.6219            4.6219
               282            4.6219            4.6219
               283           4.46841           4.62129
               284           4.46841           4.46841
               285           4.46841           4.46841
               286           4.46841           4.46841
               287           4.46841           4.46841
               288           4.46841           4.46841
               289           4.46841           4.46841
               290           4.46841           4.46841
               291           4.46841           4.46841
               292            4.3427           4.46791
               293            4.3427            4.3427
               294            4.3427            4.3427
               295            4.3427            4.3427
               296            4.3427            4.3427
               297            4.3427            4.3427
               298            4.3427            4.3427
               299            4.3427            4.3427
               300            4.3427            4.3427
               301            4.3427            4.3427
               302            4.3427            4.3427
               303            4.3427            4.3427
               304            4.3427            4.3427
               305            4.3427            4.3427
               306            4.3427            4.3427
               307            4.3427            4.3427
               308            4.3427            4.3427
               309            4.3427            4.3427
               310            4.3427            4.3427
               311            4.3427            4.3427
               312            4.3427            4.3427
               313            4.3427            4.3427
               314            4.3427            4.3427
               315            4.3427            4.3427
               316            4.3427            4.3427
               317            4.3427            4.3427
               318            4.3427            4.3427
               319            4.3427            4.3427
               320            4.3427            4.3427
               321            4.3427            4.3427
               322            4.3427            4.3427
               323            4.3427            4.3427
               324            4.3427            4.3427
               325            4.3427            4.3427
               326            4.3427            4.3427
               327            4.3427            4.3427
               328            4.3427            4.3427
               329            4.3427            4.3427
               330            4.3427            4.3427
               331            4.3427            4.3427
               332            4.3427            4.3427
               333            4.3427            4.3427
               334            4.3427            4.3427
               335            4.3427            4.3427
               336            4.3427            4.3427
               337            4.3427            4.3427
               338            4.3427            4.3427
               339            4.3427            4.3427
               340            4.3427            4.3427
               341            4.3427            4.3427
               342            4.3427            4.3427
               343            4.3427            4.3427
               344            4.3427            4.3427
               345            4.3427            4.3427
               346            4.3427            4.3427
               347            4.3427            4.3427
               348            4.3427            4.3427
               349            4.3427            4.3427
               350            4.3427            4.3427
               351            4.3427            4.3427
               352            4.3427            4.3427
               353            4.3427            4.3427
               354            4.3427            4.3427
               355            4.3427            4.3427
               356            4.3427            4.3427
               357           4.33982           4.34269
               358           4.33982           4.33982
               359           4.33982           4.33982
               360           4.33982           4.33982
               361           4.33982           4.33982
               362           4.33982           4.33982
               363           4.33982           4.33982
               364           4.33982           4.33982
               365           4.33982           4.33982
               366           4.33982           4.33982
               367           4.33982           4.33982
               368           4.33982           4.33982
               369           4.33982           4.33982
               370           4.33982           4.33982
               371           4.33982           4.33982
               372           4.33982           4.33982
               373           4.33982           4.33982
               374           4.33982           4.33982
               375           4.33982           4.33982
               376           4.33982           4.33982
               377           4.33982           4.33982
               378           4.33982           4.33982
               379           4.33982           4.33982
               380           4.33982           4.33982
               381           4.33982           4.33982
               382           4.33982           4.33982
               383           4.33982           4.33982
               384           4.33982           4.33982
               385           4.33982           4.33982
               386           4.33982           4.33982
               387           4.33982           4.33982
               388           4.33982           4.33982
               389           4.33982           4.33982
