          ntotiter
              1000
             Niter        Best_route     Elite_average
               244           2.59885           2.59885
               245           2.59885           2.59885
               246           2.59885           2.59885
               247           2.59885           2.59885
               248           2.59885           2.59885
               249           2.58237           2.59878
               250           2.58237           2.58237
               251           2.58237           2.58237
               252           2.58237           2.58237
               253           2.58237           2.58237
               254           2.58237           2.58237
               255           2.58237           2.58237
               256           2.58237           2.58237
               257           2.58237           2.58237
               258           2.58237           2.58237
               259           2.58237           2.58237
               260           2.58237           2.58237
               261           2.58237           2.58237
               262           2.58237           2.58237
               263           2.58237           2.58237
               264           2.58237           2.58237
               265           2.58237           2.58237
               266           2.58237           2.58237
               267           2.58237           2.58237
               268           2.58237           2.58237
               269           2.58237           2.58237
               270           2.58237           2.58237
               271           2.58237           2.58237
               272           2.58237           2.58237
               273           2.58237           2.58237
               274           2.58237           2.58237
               275           2.58237           2.58237
               276           2.58237           2.58237
               277           2.58237           2.58237
               278           2.58237           2.58237
               279           2.58237           2.58237
               280           2.58237           2.58237
               281           2.58237           2.58237
               282           2.58237           2.58237
               283           2.58237           2.58237
               284           2.58237           2.58237
               285           2.58237           2.58237
               286           2.58237           2.58237
               287           2.58237           2.58237
               288           2.58237           2.58237
               289           2.58237           2.58237
               290           2.58237           2.58237
               291           2.58237           2.58237
               292           2.58237           2.58237
               293           2.58237           2.58237
               294           2.58237           2.58237
               295           2.58237           2.58237
               296           2.58237           2.58237
               297           2.58237           2.58237
               298           2.58237           2.58237
               299           2.58237           2.58237
               300           2.58237           2.58237
               301           2.58237           2.58237
               302           2.58237           2.58237
               303           2.58237           2.58237
               304           2.58237           2.58237
               305           2.58237           2.58237
               306           2.58237           2.58237
               307           2.58237           2.58237
               308           2.58237           2.58237
               309           2.58237           2.58237
               310           2.58237           2.58237
               311           2.58237           2.58237
               312           2.58237           2.58237
               313           2.58237           2.58237
               314           2.58237           2.58237
               315           2.58237           2.58237
               316           2.58237           2.58237
               317           2.58237           2.58237
               318           2.58237           2.58237
               319           2.58237           2.58237
               320           2.58237           2.58237
               321           2.58237           2.58237
               322           2.58237           2.58237
               323           2.58237           2.58237
               324           2.58237           2.58237
               325           2.58237           2.58237
               326           2.58237           2.58237
               327           2.58237           2.58237
               328           2.58237           2.58237
               329           2.58237           2.58237
               330           2.58237           2.58237
               331           2.58237           2.58237
               332           2.58237           2.58237
               333           2.58237           2.58237
               334           2.58237           2.58237
               335           2.58237           2.58237
               336           2.58237           2.58237
               337           2.58237           2.58237
               338           2.58237           2.58237
               339           2.58237           2.58237
               340           2.58237           2.58237
               341           2.58237           2.58237
               342           2.58237           2.58237
               343           2.58237           2.58237
               344           2.58237           2.58237
               345           2.58237           2.58237
               346           2.58237           2.58237
               347           2.58237           2.58237
               348           2.58237           2.58237
               349           2.58237           2.58237
               350           2.58237           2.58237
               351           2.58237           2.58237
               352           2.58237           2.58237
               353           2.58237           2.58237
               354           2.58237           2.58237
               355           2.58237           2.58237
               356           2.58237           2.58237
               357           2.58237           2.58237
               358           2.58237           2.58237
               359           2.58237           2.58237
               360           2.58237           2.58237
               361           2.58237           2.58237
               362           2.58237           2.58237
               363           2.58237           2.58237
               364           2.58237           2.58237
               365           2.58237           2.58237
               366           2.58237           2.58237
               367           2.58237           2.58237
               368           2.58237           2.58237
               369           2.58237           2.58237
               370           2.58237           2.58237
               371           2.58237           2.58237
               372           2.58237           2.58237
               373           2.58237           2.58237
               374           2.58237           2.58237
               375           2.58237           2.58237
               376           2.58237           2.58237
               377           2.58237           2.58237
               378           2.58237           2.58237
               379           2.58237           2.58237
               380           2.58237           2.58237
               381           2.58237           2.58237
               382           2.58237           2.58237
               383           2.58237           2.58237
               384           2.58237           2.58237
               385           2.58237           2.58237
               386           2.58237           2.58237
               387           2.58237           2.58237
               388           2.58237           2.58237
               389           2.58237           2.58237
               390           2.58237           2.58237
               391           2.58237           2.58237
               392           2.58237           2.58237
               393           2.58237           2.58237
               394           2.58237           2.58237
               395           2.58237           2.58237
               396           2.58237           2.58237
               397           2.58237           2.58237
               398           2.58237           2.58237
               399           2.58237           2.58237
               400           2.58237           2.58237
               401           2.58237           2.58237
               402           2.58237           2.58237
               403           2.58237           2.58237
               404           2.58237           2.58237
               405           2.58237           2.58237
               406           2.58237           2.58237
               407           2.58237           2.58237
               408           2.58237           2.58237
               409           2.58237           2.58237
               410           2.58237           2.58237
               411           2.58237           2.58237
               412           2.58237           2.58237
               413           2.58237           2.58237
               414           2.58237           2.58237
               415           2.58237           2.58237
               416           2.58237           2.58237
               417           2.58237           2.58237
               418           2.58237           2.58237
               419           2.58237           2.58237
               420           2.58237           2.58237
               421           2.58237           2.58237
               422           2.58237           2.58237
               423           2.58237           2.58237
               424           2.58237           2.58237
               425           2.58237           2.58237
               426           2.58237           2.58237
               427           2.58237           2.58237
               428           2.58237           2.58237
               429           2.58237           2.58237
               430           2.58237           2.58237
               431           2.58237           2.58237
               432           2.58237           2.58237
               433           2.58237           2.58237
               434           2.58237           2.58237
               435           2.58237           2.58237
               436           2.58237           2.58237
               437           2.58237           2.58237
               438           2.58237           2.58237
               439           2.58237           2.58237
               440           2.58237           2.58237
               441           2.58237           2.58237
               442           2.58237           2.58237
               443           2.58237           2.58237
               444           2.58237           2.58237
               445           2.58237           2.58237
               446           2.58237           2.58237
               447           2.58237           2.58237
               448           2.58237           2.58237
               449           2.58237           2.58237
               450           2.58237           2.58237
               451           2.58237           2.58237
               452           2.58237           2.58237
               453           2.58237           2.58237
               454           2.58237           2.58237
               455           2.58237           2.58237
               456           2.58237           2.58237
               457           2.58237           2.58237
               458           2.58237           2.58237
               459           2.58237           2.58237
               460           2.58237           2.58237
               461           2.58237           2.58237
               462           2.58237           2.58237
               463           2.58237           2.58237
               464           2.58237           2.58237
               465           2.58237           2.58237
               466           2.58237           2.58237
               467           2.58237           2.58237
               468           2.58237           2.58237
               469           2.58237           2.58237
               470           2.58237           2.58237
               471           2.58237           2.58237
               472           2.58237           2.58237
               473           2.58237           2.58237
               474           2.58237           2.58237
               475           2.58237           2.58237
               476           2.58237           2.58237
               477           2.58237           2.58237
               478           2.58237           2.58237
               479           2.58237           2.58237
               480           2.58237           2.58237
               481           2.58237           2.58237
               482           2.58237           2.58237
               483           2.58237           2.58237
               484           2.58237           2.58237
               485           2.58237           2.58237
               486           2.58237           2.58237
               487           2.58237           2.58237
               488           2.58237           2.58237
               489           2.58237           2.58237
               490           2.58237           2.58237
               491           2.58237           2.58237
               492           2.58237           2.58237
               493           2.58237           2.58237
               494           2.58237           2.58237
               495           2.58237           2.58237
               496           2.58237           2.58237
               497           2.58237           2.58237
               498           2.58237           2.58237
               499           2.58237           2.58237
               500           2.58237           2.58237
               501           2.58237           2.58237
               502           2.58237           2.58237
               503           2.58237           2.58237
               504           2.58237           2.58237
               505           2.58237           2.58237
               506           2.58237           2.58237
               507           2.58237           2.58237
               508           2.58237           2.58237
               509           2.58237           2.58237
               510           2.58237           2.58237
               511           2.58237           2.58237
               512           2.58237           2.58237
               513           2.58237           2.58237
               514           2.58237           2.58237
               515           2.58237           2.58237
               516           2.58237           2.58237
               517           2.58237           2.58237
               518           2.58237           2.58237
               519           2.58237           2.58237
               520           2.58237           2.58237
               521           2.58237           2.58237
               522           2.58237           2.58237
               523           2.58237           2.58237
               524           2.58237           2.58237
               525           2.58237           2.58237
               526           2.58237           2.58237
               527           2.58237           2.58237
               528           2.58237           2.58237
               529           2.58237           2.58237
               530           2.58237           2.58237
               531           2.58237           2.58237
               532           2.58237           2.58237
               533           2.58237           2.58237
               534           2.58237           2.58237
               535           2.58237           2.58237
               536           2.58237           2.58237
               537           2.58237           2.58237
               538           2.58237           2.58237
               539           2.58237           2.58237
               540           2.58237           2.58237
               541           2.58237           2.58237
               542           2.58237           2.58237
               543           2.58237           2.58237
               544           2.58237           2.58237
               545           2.58237           2.58237
               546           2.58237           2.58237
               547           2.58237           2.58237
               548           2.58237           2.58237
               549           2.58237           2.58237
               550           2.58237           2.58237
               551           2.58237           2.58237
               552           2.58237           2.58237
               553           2.58237           2.58237
               554           2.58237           2.58237
               555           2.58237           2.58237
               556           2.58237           2.58237
               557           2.58237           2.58237
               558           2.58237           2.58237
               559           2.58237           2.58237
               560           2.58237           2.58237
               561           2.58237           2.58237
               562           2.58237           2.58237
               563           2.58237           2.58237
               564           2.58237           2.58237
               565           2.58237           2.58237
               566           2.58237           2.58237
               567           2.58237           2.58237
               568           2.58237           2.58237
               569           2.58237           2.58237
               570           2.58237           2.58237
               571           2.58237           2.58237
               572           2.58237           2.58237
               573           2.58237           2.58237
               574           2.58237           2.58237
               575           2.58237           2.58237
               576           2.58237           2.58237
               577           2.58237           2.58237
               578           2.58237           2.58237
               579           2.58237           2.58237
               580           2.58237           2.58237
               581           2.58237           2.58237
               582           2.58237           2.58237
               583           2.58237           2.58237
               584           2.58237           2.58237
               585           2.58237           2.58237
               586           2.58237           2.58237
               587           2.58237           2.58237
               588           2.58237           2.58237
               589           2.58237           2.58237
               590           2.58237           2.58237
               591           2.58237           2.58237
               592           2.58237           2.58237
               593           2.58237           2.58237
               594           2.58237           2.58237
               595           2.58237           2.58237
               596           2.58237           2.58237
               597           2.58237           2.58237
               598           2.58237           2.58237
               599           2.58237           2.58237
               600           2.58237           2.58237
               601           2.58237           2.58237
               602           2.58237           2.58237
               603           2.58237           2.58237
               604           2.58237           2.58237
               605           2.58237           2.58237
               606           2.58237           2.58237
               607           2.58237           2.58237
               608           2.58237           2.58237
               609           2.58237           2.58237
               610           2.58237           2.58237
               611           2.58237           2.58237
               612           2.58237           2.58237
               613           2.58237           2.58237
               614           2.58237           2.58237
               615           2.58237           2.58237
               616           2.58237           2.58237
               617           2.58237           2.58237
               618           2.58237           2.58237
               619           2.58237           2.58237
               620           2.58237           2.58237
               621           2.58237           2.58237
               622           2.58237           2.58237
               623           2.58237           2.58237
               624           2.58237           2.58237
               625           2.58237           2.58237
               626           2.58237           2.58237
